timestamp,"fivegs_pcffunction_pa_policyamassoreq_total{plmnid=""00101"",snssai=""1""}","fivegs_pcffunction_pa_policyamassosucc_total{plmnid=""00101"",snssai=""1""}","fivegs_pcffunction_pa_policysmassoreq_total{plmnid=""00101"",snssai=""1""}","fivegs_pcffunction_pa_policysmassosucc_total{plmnid=""00101"",snssai=""1""}","fivegs_pcffunction_pa_sessionnbr{plmnid=""00101"",snssai=""1""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:08:48.398000002,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:48.657999992,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:48.963000059,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:49.256000041,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:49.559999943,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:49.861000061,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:50.164000034,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:50.463999987,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:50.776999950,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:51.072999954,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:51.368000031,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:51.681999922,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:51.977999926,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:52.278000116,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:52.582999945,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:52.871999979,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:53.171000004,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:53.476000071,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:53.769000053,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:54.061000109,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:54.362999916,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:54.674000025,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:54.974999905,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:55.270999908,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:55.566999912,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:55.874000072,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:56.167999983,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:56.480000019,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:56.773000002,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:57.065999985,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:57.362999916,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:57.661000013,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:57.967999935,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:58.269000053,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:58.562000036,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:58.880000114,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:59.165999889,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:59.469000101,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:08:59.767999887,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:00.068000078,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:00.375999928,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:00.671999931,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:00.973000050,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:01.266000032,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:01.569999933,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:01.887000084,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:02.167999983,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:02.466000080,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:02.773999929,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:03.062999964,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:03.378999949,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:03.680000067,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:03.964999914,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:04.263999939,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:04.572000027,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:04.881999969,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:05.176000118,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:05.470000029,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:05.766999960,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:06.081000090,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:06.371000051,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:06.676000118,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:06.990000010,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:07.283999920,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:07.568000078,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:07.901999950,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:08.177000046,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:08.474999905,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:08.767999887,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:09.073999882,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:09.380000114,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:09.677000046,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:09.970000029,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:10.269000053,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:10.569000006,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:10.882999897,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:11.174000025,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:11.473000050,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:11.776000023,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:12.075000048,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:12.381999969,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:12.671000004,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:12.983999968,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:13.272000074,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:13.572000027,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:13.884999990,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:14.170000076,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:14.471999884,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:14.772000074,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:15.069999933,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:15.375000000,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:15.678999901,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:15.973000050,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:16.275000095,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:16.592999935,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:16.881999969,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:17.184000015,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:17.483000040,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:17.778000116,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:18.092999935,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:18.384999990,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:18.688999891,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:18.994999886,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:19.289999962,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:19.588999987,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:19.891999960,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:20.180999994,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:20.474999905,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:20.776999950,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:21.078999996,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:21.378999949,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:21.677999973,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:21.977999926,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:22.280999899,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:22.578999996,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:22.885999918,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:23.178999901,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:23.482000113,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:23.779999971,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:24.078999996,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:24.378000021,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:24.684999943,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:24.980999947,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:25.280999899,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:25.592999935,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:25.880000114,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:26.187000036,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:26.489000082,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:26.792000055,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:27.091000080,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:27.384000063,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:27.684000015,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:27.986000061,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:28.316999912,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:28.588999987,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:28.892999887,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:29.186000109,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:29.483999968,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:29.786999941,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:30.085000038,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:30.388000011,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:30.694999933,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:30.986999989,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:31.295000076,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:31.582000017,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:31.882999897,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:32.184999943,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:32.489000082,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:32.782999992,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:33.082000017,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:33.387000084,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:33.688999891,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:33.994999886,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:34.280999899,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:34.591000080,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:34.897000074,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:35.184000015,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:35.484999895,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:35.782000065,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:36.085999966,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:36.382999897,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:36.688999891,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:36.992000103,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:37.289999962,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:37.584000111,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:37.882999897,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:38.200000048,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:38.489000082,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:38.799000025,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:39.088999987,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:39.391000032,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:39.690999985,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:39.986000061,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:40.293999910,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:40.586999893,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:40.897000074,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:41.193000078,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:41.486000061,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:41.789000034,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:42.088999987,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:42.384999990,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:42.686000109,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:42.990999937,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:43.293999910,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:43.592000008,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:43.901000023,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:44.200999975,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:44.490000010,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:44.789000034,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:45.088000059,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:45.400000095,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:45.707999945,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:45.986999989,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:46.289000034,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:46.594000101,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:46.890000105,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:47.203999996,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:47.486000061,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:47.790999889,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:48.091000080,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:48.388000011,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:48.703999996,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:49.002000093,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:49.292999983,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:49.588000059,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:49.891000032,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:50.187999964,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:50.503999949,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:50.798000097,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:51.088999987,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:51.391000032,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
2025-11-14 11:09:51.693000078,69,69,69,69,65,1048576,-1,1880,265879552,44212224,206169,19
