timestamp,gn_rx_createpdpcontextreq_total,gn_rx_deletepdpcontextreq_total,gtp1_pdpctxs_active,fivegs_smffunction_sm_n4sessionreport_total,ues_active,gtp2_sessions_active,s5c_rx_createsession_total,s5c_rx_deletesession_total,gtp_new_node_failed_total,s5c_rx_parse_failed_total,fivegs_smffunction_sm_n4sessionreportsucc_total,fivegs_smffunction_sm_n4sessionestabreq_total,bearers_active,gn_rx_parse_failed_total,gtp_peers_active,"fivegs_smffunction_sm_sessionnbr{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_pdusessioncreationreq_total{plmnid="""",snssai=""""}","fivegs_smffunction_sm_pdusessioncreationreq_total{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_pdusessioncreationsucc_total{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_qos_flow_nbr{plmnid=""00101"",snssai=""1"",fiveqi=""9""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:05:50.405999899,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:50.701999903,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:50.999000072,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:51.306999922,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:51.607000113,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:51.907000065,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:52.210999966,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:52.506999969,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:52.808000088,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:53.105999947,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:53.411000013,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:53.706000090,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:54.006999969,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:54.311000109,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:54.608000040,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:54.907999992,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:55.213999987,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:55.507999897,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:55.802999973,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:56.101999998,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:56.415999889,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:56.707000017,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:57.013000011,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
