timestamp,fivegs_ep_n3_gtp_indatapktn3upf_total,fivegs_ep_n3_gtp_outdatapktn3upf_total,fivegs_upffunction_sm_n4sessionestabreq_total,fivegs_upffunction_sm_n4sessionreport_total,fivegs_upffunction_sm_n4sessionreportsucc_total,fivegs_upffunction_upf_sessionnbr,"fivegs_upffunction_upf_qosflows{dnn=""internet""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:00:53.898999929,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:54.216000080,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:54.503000020,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:54.809999943,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:55.096999884,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:55.410000086,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:55.707999945,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:55.997999907,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:56.319999933,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:56.598999977,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:56.914999962,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:57.210999966,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:57.496999979,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:57.802999973,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:58.104000092,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:58.421000004,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:58.721999884,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:59.020999908,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:59.309999943,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:59.607000113,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:00:59.908999920,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:01:00.220999956,0,0,69,2205,2205,65,65,1048576,-1,67312,288829440,35618816,178917,12
2025-11-14 11:01:00.543999910,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:00.808000088,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:01.111999989,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:01.403000116,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:01.703000069,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:02.000999928,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:02.306999922,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:02.608000040,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:02.911999941,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:03.213999987,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:03.500999928,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:03.801000118,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:04.104000092,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:04.404999971,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:04.703999996,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:05.000000000,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:05.309000015,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:05.619999886,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:05.920000076,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:06.203000069,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:06.519999981,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:06.802999973,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:07.104000092,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:07.404999971,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:07.701999903,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:08.016000032,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:08.328999996,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:08.608000040,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:08.905999899,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:09.209000111,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:09.503999949,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:09.818000078,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:10.108999968,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:10.427000046,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:10.707999945,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:11.007999897,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:11.302999973,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:11.607000113,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:11.904999971,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:12.204999924,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:12.506999969,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:12.806999922,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:13.114000082,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:13.411999941,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:13.716000080,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:14.012000084,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:14.305999994,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:14.605999947,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:14.910000086,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:15.223000050,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:15.510999918,0,0,69,2205,2205,65,65,1048576,-1,67313,288829440,35618816,178917,12
2025-11-14 11:01:15.805999994,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:16.107000113,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:16.411999941,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:16.714999914,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:17.009000063,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:17.319999933,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:17.621000051,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:17.914999962,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:18.210999966,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:18.509000063,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:18.806999922,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:19.108999968,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:19.407999992,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:19.732000113,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:20.019000053,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:20.313999891,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:20.611999989,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:20.911999941,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:21.214999914,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:21.510999918,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:21.813999891,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:22.115000010,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:22.414000034,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:22.707999945,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:23.016999960,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:23.311000109,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:23.640000105,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:23.914000034,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:24.214999914,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:24.515000105,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:24.812999964,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:25.108999968,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:25.420000076,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:25.711999893,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:26.010999918,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:26.309000015,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:26.615000010,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:26.911999941,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:27.220999956,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:27.507999897,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:27.858999968,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:28.148999929,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:28.424000025,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
