time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
1086150.0;5;5743.589844;636307.75;0.22;884420;1656652;72;2.3;15;100;75;100;100;88;75;88;62;100.0;62;75.0;75.0;62.0;75.0;88.0;62.0;88.0;50;100;25;88.0;62;75.0;50;88.0;75.0;100.0;62.0;100.0;62.0;100.0;62.0
1086150.0;5;6666.666992;689333.3125;0.22;884420;1656652;72;2.8;15;100;75;75;100;100;75;87;75;75.0;75;62.0;75.0;87.0;75.0;75.0;62.0;75.0;75;100;24;62.0;49;75.0;62;75.0;49.0;100.0;62.0;100.0;49.0;100.0;62.0
1086150.0;5;7567.567871;670702.75;0.22;884420;1656652;72;2.0;15;88;75;75;88;88;75;62;100;88.0;100;75.0;62.0;100.0;75.0;62.0;75.0;88.0;62;75;62;88.0;62;88.0;50;62.0;62.0;100.0;50.0;75.0;62.0;100.0;62.0
1086150.0;5;2604.651123;480930.21875;0.22;884420;1656652;72;2.3;15;88;75;88;75;88;88;62;100;75.0;75;88.0;75.0;100.0;75.0;75.0;75.0;75.0;62;75;62;62.0;50;88.0;38;62.0;62.0;100.0;50.0;75.0;62.0;100.0;62.0
1086150.0;5;292977.75;551466.6875;0.22;884420;1656652;72;3.2;15;75;75;87;75;100;75;75;75;75.0;62;75.0;62.0;75.0;87.0;100.0;62.0;100.0;49;100;62;75.0;62;75.0;62;75.0;49.0;100.0;62.0;87.0;37.0;100.0;62.0
1086150.0;5;4800.0;709028.5625;0.22;884420;1656652;72;2.0;15;75;87;75;75;100;75;75;75;87.0;75;62.0;62.0;87.0;75.0;100.0;75.0;75.0;62;87;62;62.0;62;75.0;62;75.0;75.0;100.0;75.0;62.0;62.0;100.0;75.0
1086150.0;5;22153.845703;636307.75;0.22;884420;1656652;72;2.3;15;75;75;75;75;100;62;88;62;75.0;75;62.0;62.0;75.0;62.0;100.0;62.0;75.0;50;75;38;62.0;62;62.0;50;62.0;38.0;100.0;50.0;75.0;50.0;100.0;50.0
1086150.0;5;7724.138184;570482.75;0.22;884420;1656652;72;2.0;15;75;75;88;62;88;88;75;62;88.0;62;75.0;75.0;100.0;75.0;100.0;75.0;75.0;50;88;62;75.0;62;75.0;62;62.0;62.0;100.0;50.0;75.0;50.0;100.0;50.0
1086160.0;5;5333.333496;393904.75;0.22;884420;1656652;72;2.4;15;87;75;75;75;75;62;100;62;87.0;75;62.0;62.0;87.0;87.0;87.0;75.0;62.0;62;75;49;75.0;62;62.0;75;75.0;49.0;100.0;62.0;75.0;49.0;100.0;62.0
1086160.0;5;10051.282227;742359.0;0.22;884420;1656652;72;2.0;15;88;75;88;88;100;75;88;50;75.0;75;100.0;75.0;75.0;75.0;62.0;75.0;88.0;62;88;50;88.0;50;100.0;100;75.0;62.0;100.0;50.0;100.0;62.0;100.0;62.0
